"","x"
"1",0.00778622978836158
"2",0.0214578019879968
"3",0.0751316510135812
"4",0.0905217331008709
"5",0.0956899435590089
"6",0.100822273799818
"7",0.108487572891195
"8",0.108836267098956
"9",0.120585389241831
"10",0.133616465333484
"11",0.137539206739779
"12",0.141623714375032
"13",0.143294324557843
"14",0.154882756758748
"15",0.161831741010716
"16",0.165558519142356
"17",0.170298654987124
"18",0.189132801993007
"19",0.192986598316345
"20",0.193819813025897
"21",0.198296957483531
"22",0.198421475007925
"23",0.201510315841254
"24",0.213319232838095
"25",0.21570622319286
"26",0.226687441845169
"27",0.22686009962698
"28",0.233445291649452
"29",0.235467551515243
"30",0.237050756164875
"31",0.239676514714421
"32",0.240001997969838
"33",0.24626663463329
"34",0.251550170972269
"35",0.256126550846717
"36",0.257021735595535
"37",0.266984661812646
"38",0.267309905953562
"39",0.268302851311457
"40",0.268583431114508
"41",0.268781992560901
"42",0.271226763283462
"43",0.271382410039943
"44",0.27164507344764
"45",0.272628712762191
"46",0.281092894259716
"47",0.283149326698229
"48",0.287298172978835
"49",0.288550771992759
"50",0.293720449653686
"51",0.296233741313568
"52",0.297247567392801
"53",0.299985420318565
"54",0.300134671849779
"55",0.301225016719648
"56",0.305067353823161
"57",0.306755408231995
"58",0.308374111337704
"59",0.312443992505736
"60",0.318673268352188
"61",0.32403988115994
"62",0.325669242654939
"63",0.332667838295574
"64",0.33466842449303
"65",0.335545946352798
"66",0.336423696465116
"67",0.34287509911799
"68",0.344317332281447
"69",0.344493690812642
"70",0.350006182759807
"71",0.35040014276235
"72",0.352542495941973
"73",0.353309743954068
"74",0.36330847460309
"75",0.364157309758244
"76",0.365437171552678
"77",0.371380204455319
"78",0.373358124812496
"79",0.378119640965677
"80",0.380004259461904
"81",0.383133264324458
"82",0.385157674581624
"83",0.387397899237381
"84",0.387621509745371
"85",0.389173959977242
"86",0.391121794575822
"87",0.391739474808653
"88",0.396220308147727
"89",0.396879799755262
"90",0.398003252652567
"91",0.39839911254041
"92",0.399413915820083
"93",0.400199965041643
"94",0.401437654815082
"95",0.401513456315321
"96",0.404246551510561
"97",0.406911010532651
"98",0.40726078906466
"99",0.407680254242764
"100",0.408213704045687
"101",0.410142331795464
"102",0.410940594333454
"103",0.412278961225409
"104",0.412882289178087
"105",0.419304173834078
"106",0.420392367660079
"107",0.42155490848581
"108",0.423410048144246
"109",0.424249964092244
"110",0.428273238779862
"111",0.428409554388223
"112",0.428798954477869
"113",0.429164506489864
"114",0.430290235154402
"115",0.430915376560273
"116",0.431616888213499
"117",0.433409192932023
"118",0.435022618819159
"119",0.43569498019081
"120",0.436402415227632
"121",0.439165669110891
"122",0.439884458033013
"123",0.44565818752949
"124",0.448835702582425
"125",0.450574881656122
"126",0.454334087597439
"127",0.454837899964187
"128",0.45686041669601
"129",0.457584159366809
"130",0.458558076042356
"131",0.463973592550436
"132",0.463991982274636
"133",0.46626715182601
"134",0.46722463954097
